title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0211,isic0211,175692,,http://sicily.classics.ox.ac.uk/inscription/isic0211,10.5281/zenodo.4334598,8900400,077922,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0025,isic0025,491785,,http://sicily.classics.ox.ac.uk/inscription/isic0025,10.5281/zenodo.4333814,22000869,137835,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 2782,isic2782,645179,334241,http://sicily.classics.ox.ac.uk/inscription/isic2782,10.5281/zenodo.4355137,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0039,isic0039,644806,,http://sicily.classics.ox.ac.uk/inscription/isic0039,10.5281/zenodo.4333863,64800036,137596,,,,,,(?),,,,
I.Sicily inscription 4130,isic4130,,334671,http://sicily.classics.ox.ac.uk/inscription/isic4130,10.5281/zenodo.4389898,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
Epitaph for Cnaeus Fabius Titianus,isic0350,491559,,http://sicily.classics.ox.ac.uk/inscription/isic0350,10.5281/zenodo.4335159,21900388,139218,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1252,isic1252,492858,329617,http://sicily.classics.ox.ac.uk/inscription/isic1252,10.5281/zenodo.4352265,39101620,,,,,accounts,http://www.eagle-network.eu/voc/typeins/lod/410.html,accounts,,,,
I.Sicily inscription 0992,isic0992,492619,140470,http://sicily.classics.ox.ac.uk/inscription/isic0992,10.5281/zenodo.4340292,39102146,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0953,isic0953,492583,140434,http://sicily.classics.ox.ac.uk/inscription/isic0953,10.5281/zenodo.4340176,39102110,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1415,isic1415,644966,178076,http://sicily.classics.ox.ac.uk/inscription/isic1415,10.5281/zenodo.4353979,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
Funerary epitaph for Alexion,isic3538,493871,313665,http://sicily.classics.ox.ac.uk/inscription/isic3538,10.5281/zenodo.4358694,38200023,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3290,isic3290,645557,336683,http://sicily.classics.ox.ac.uk/inscription/isic3290,10.5281/zenodo.4358067,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0591,isic0591,491848,,http://sicily.classics.ox.ac.uk/inscription/isic0591,10.5281/zenodo.4385000,22100586,,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific (?),,,,
I.Sicily inscription 2787,isic2787,645184,334271,http://sicily.classics.ox.ac.uk/inscription/isic2787,10.5281/zenodo.4387374,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1423,isic1423,644973,333362,http://sicily.classics.ox.ac.uk/inscription/isic1423,10.5281/zenodo.4385916,64900779,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
