 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Panel panel" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "base panel" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "base panel" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "panelled block" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "panelled block" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque base de monument funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque base de monument funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque de construction" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque de construction" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire appartenant à un mausolée" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire appartenant à un mausolée" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
